Phono sim:	因	yin1	Score: 85.9444
Both diff:	遂	sui4	Score: 85.5939

Critical:	沪	hu4	Aggregate: 7.722491960476163
Both sim:	浩	hao4	Score: 75.062
Ortho sim:	汪	wang1	Score: 72.848
Phono sim:	户	hu4	Score: 100.0
Both diff:	菸	yan1	Score: 76.1609

Critical:	苛	ke1	Aggregate: 8.284767456628968
Both sim:	荷	he2	Score: 81.79
Ortho sim:	苑	yuan4	Score: 67.2698
Phono sim:	抠	kou1	Score: 95.3127
Both diff:	愿	yuan4	Score: 75.253

Critical:	纹	wen2	Aggregate: 8.33381282812786
Both sim:	炆	wen2	Score: 72.7941
Ortho sim:	纸	zhi3	Score: 61.1708
Phono sim:	丸	wan2	Score: 89.7733
Both diff:	太	tai4	Score: 72.308

Critical:	滞	zhi4	Aggregate: 9.018905402846263
Both sim:	渡	du4	Score: 72.8617
Ortho sim:	湾	wan1	Score: 74.1037
Phono sim:	掷	zhi4	Score: 96.1874
Both diff:	庵	an1	Score: 78.3103

Critical:	沽	gu1	Aggregate: 8.223386700528993
Both sim:	沼	zhao3	Score: 73.7897
Ortho sim:	沿	yan2	Score: 71.7328
Phono sim:	刳	ku1	Score: 98.1336
Both diff:	妄	wang4	Score: 78.5218

Critical:	钦	qin1	Aggregate: 8.153866398572504
Both sim:	铛	cheng1	Score: 70.0532
Ortho sim:	钥	yue4	Score: 67.8581
Phono sim:	珍	zhen1	Score: 93.8659
Both diff:	霭	ai3	Score: 78.042

Critical:	字	zi4	Aggregate: 8.40358859172587
Both sim:	守	shou3	Score: 71.0147
Ortho sim:	安	an1	Score: 72.7196
Phono sim:	子	zi3	Score: 96.2673
Both diff:	腌	yan1	Score: 81.755

Critical:	嗲	dia3	Aggregate: 8.314775704261816
Both sim:	喋	die2	Score: 70.8875
Ortho sim:	嗯	en1	Score: 62.4581
Phono sim:	达	da2	Score: 88.9027
Both diff:	儿	er2	Score: 70.8596

Critical:	哦	e2	Aggregate: 8.457098115170838
Both sim:	娥	e2	Score: 88.2353
Ortho sim:	唤	huan4	Score: 64.6755
Phono sim:	额	e2	Score: 93.2773
Both diff:	涮	shuan4	Score: 82.1655

Critical:	汨	mi4	Aggregate: 7.642209783908363
Both sim:	沐	mu4	Score: 79.8884
Ortho sim:	汪	wang1	Score: 64.316
Phono sim:	剃	ti4	Score: 92.6622
Both diff:	昂	ang2	Score: 71.8397

Critical:	湾	wan1	Aggregate: 8.459848961130529
Both sim:	温	wen1	Score: 74.4372
Ortho sim:	滞	zhi4	Score: 74.1037
Phono sim:	剜	wan1	Score: 100.0
Both diff:	讫	qi4	Score: 83.8288

Critical:	熬	ao1	Aggregate: 8.121174102759763
Both sim:	獒	ao2	Score: 84.5026
Ortho sim:	熊	xiong2	Score: 62.8649
Phono sim:	凹	ao1	Score: 93.6975
Both diff:	浣	huan4	Score: 81.9413

Critical:	泪	lei4	Aggregate: 6.933935682236316
Both sim:	泣	qi4	Score: 76.6671
Ortho sim:	汪	wang1	Score: 62.229
Phono sim:	利	li4	Score: 95.7696
Both diff:	英	ying1	Score: 70.2354

Critical:	活	huo2	Aggregate: 7.61886677586282
Both sim:	浊	zhuo2	Score: 82.3296
Ortho sim:	洋	yang2	Score: 61.6767
Phono sim:	郭	guo1	Score: 94.0525
Both diff:	韵	yun4	Score: 77.312

Critical:	泣	qi4	Aggregate: 8.106453065802373
Both sim:	泪	lei4	Score: 76.6671
Ortho sim:	汪	wang1	Score: 69.0614
Phono sim:	剂	ji4	Score: 98.1336
Both diff:	园	yuan2	Score: 77.4092

Critical:	驻	zhu4	Aggregate: 7.3756566715001926
Both sim:	柱	zhu4	Score: 73.1158
Ortho sim:	往	wang3	Score: 67.5234
Phono sim:	述	shu4	Score: 97.6528
Both diff:	源	yuan2	Score: 75.2881

Critical:	漆	qi1	Aggregate: 8.202691932262887
Both sim:	溪	xi1	Score: 76.2602
Ortho sim:	漾	yang4	Score: 67.7848
Phono sim:	七	qi1	Score: 97.6891
Both diff:	瓮	weng4	Score: 78.8554

Critical:	嗜	shi4	Aggregate: 7.850348582267873
Both sim:	嗤	chi1	Score: 74.1408
Ortho sim:	嗡	weng1	Score: 72.7821
Phono sim:	式	shi4	Score: 97.9638
Both diff:	言	yan2	Score: 73.7825

