仗	zhang4	O+P+	丈	zhang4	1.8	measure of length, ten Chinese feet (3.3 m)
	weaponry	O+P-	仪	yi2	1.917	apparatus
		O-P+	障	zhang4	1.978	to block
		O-P-	壹	yi1	1.956	one (banker's anti-fraud numeral)

悉	xi1	O+P+	息	xi1	1.973	breath
	in all cases	O+P-	恙	yang4	1.963	sickness
		O-P+	戌	xu1	1.901	11th earthly branch: 7-9 p.m., 9th solar month (8th October-6th November), year of the Dog
		O-P-	院	yuan4	1.810	courtyard

收	shou1	O+P+	舟	zhou1	2.0	boat
	to receive	O+P-	网	wang3	1.908	net
		O-P+	疏	shu1	1.971	variant of 疏[shu1]
		O-P-	衍	yan3	1.766	to spread out

伪	wei3	O+P+	为	wei2	1.832	as (in the capacity of)
	false	O+P-	仲	zhong4	1.880	surname Zhong
		O-P+	鲔	wei3	1.964	little tuna
		O-P-	冈	gang1	1.968	ridge

八	ba1	O+P+	扒	ba1	2.0	to peel
	eight	O+P-	二	er4	1.867	two
		O-P+	粑	ba1	1.867	a round flat cake (dialect)
		O-P-	硬	ying4	1.906	hard

立	li4	O+P+	示	shi4	1.770	to show
	surname Li	O+P-	汪	wang1	2.0	surname Wang
		O-P+	笠	li4	2.0	bamboo rain hat
		O-P-	剜	wan1	1.865	to scoop out

上	shang3	O+P+	丈	zhang4	1.860	measure of length, ten Chinese feet (3.3 m)
	see 上聲|上声[shang3 sheng1]	O+P-	义	yi4	1.912	surname Yi
		O-P+	涨	zhang3	1.908	to rise (of prices, rivers)
		O-P-	铱	yi1	1.954	iridium (chemistry)

搡	sang3	O+P+	搪	tang2	1.842	to keep out
	push back	O+P-	揖	yi1	1.936	to greet by raising clasped hands
		O-P+	档	dang3	1.876	(Tw) variant of 擋|挡[dang3], gear
		O-P-	一	yi1	1.980	one

羡	xian4	O+P+	舛	chuan3	1.732	mistaken
	to envy	O+P-	衣	yi1	2.0	clothes
		O-P+	欠	qian4	1.935	deficient
		O-P-	一	yi1	1.958	one

辰	chen2	O+P+	臣	chen2	1.857	surname Chen
	5th earthly branch: 7-9 a.m., 3rd solar month (5th April-4th May), year of the Dragon	O+P-	邑	yi4	1.887	city
		O-P+	晨	chen2	2.0	morning
		O-P-	艾	ai4	1.878	surname Ai

维	wei2	O+P+	唯	wei2	2.0	-ism
	abbr. for Uighur 維吾爾|维吾尔[Wei2 wu2 er3]	O+P-	综	zeng4	1.720	heddle (device to form warp in weaving textiles)
		O-P+	为	wei2	1.964	as (in the capacity of)
		O-P-	丈	zhang4	1.935	measure of length, ten Chinese feet (3.3 m)

缠	chan2	O+P+	缆	lan3	1.611	cable
	to wind around	O+P-	缢	yi4	2.0	to hang
		O-P+	禅	chan2	2.0	dhyana (Sanskrit)
		O-P-	抑	yi4	2.0	to restrain

斤	jin1	O+P+	心	xin1	1.949	heart
	catty	O+P-	月	yue4	1.871	moon
		O-P+	亲	qin1	1.957	parent
		O-P-	耀	yao4	1.832	brilliant

当	dang1	O+P+	方	fang1	1.918	surname Fang
	(onom.) dong	O+P-	月	yue4	1.834	moon
		O-P+	沧	cang1	1.889	blue-green or azure (of water)
		O-P-	逸	yi4	1.965	to escape

乡	xiang1	O+P+	广	guang3	1.680	surname Guang
	country or countryside	O+P-	弋	yi4	2.0	to shoot
		O-P+	枪	qiang1	1.939	surname Qiang
		O-P-	郁	yu4	1.984	variant of 鬱|郁[yu4]

风	feng1	O+P+	方	fang1	1.842	surname Fang
	wind	O+P-	月	yue4	1.877	moon
		O-P+	砜	feng1	2.0	sulfone
		O-P-	郁	yu4	1.876	variant of 鬱|郁[yu4]

史	shi3	O+P+	驶	shi3	1.875	to gallop
	surname Shi	O+P-	央	yang1	1.985	center
		O-P+	邸	di3	1.873	surname Di
		O-P-	剜	wan1	1.856	to scoop out

弓	gong1	O+P+	工	gong1	2.0	work
	surname Gong	O+P-	弋	yi4	1.889	to shoot
		O-P+	哼	heng1	1.834	to groan
		O-P-	耀	yao4	1.862	brilliant

身	shen1	O+P+	辛	xin1	1.863	surname Xin
	body	O+P-	邑	yi4	1.894	city
		O-P+	胗	zhen1	1.946	gizzard
		O-P-	艾	ai4	1.881	surname Ai

拎	lin1	O+P+	拦	lan2	1.776	to block sb's path
	to lift	O+P-	拗	ao4	1.808	variant of 拗[ao4]
		O-P+	鳞	lin2	2.0	scales (of fish)
		O-P-	外	wai4	2.0	outside

诠	quan2	O+P+	详	xiang2	1.629	detailed
	to explain	O+P-	诣	yi4	2.0	to go (to visit a superior)
